,game_id,genre_id
577,1191100,2
578,1190160,4
579,1190160,23
580,1190180,1
581,1190180,4
582,1190180,23
583,1190310,4
584,1190310,23
585,1190310,70
586,1190380,9
587,1190400,1
588,1190400,25
589,1190410,1
590,1190410,25
591,1190410,23
592,1190460,1
593,1190460,25
594,1190480,1
595,1190560,25
596,1190560,23
597,1189740,25
598,1189740,4
599,1189740,23
600,1189750,57
601,1189750,70
602,1189780,1
603,1189780,23
604,1189800,1
605,1190060,1
606,1190060,23
607,1190110,1
608,1190110,25
609,1190110,23
610,1190110,3
611,1190110,28
612,1190110,2
613,1190120,4
614,1190120,23
615,1190120,28
616,1189230,3
617,1189360,4
618,1189360,23
619,1189380,1
620,1189380,25
621,1189380,9
622,1189440,25
623,1189440,3
624,1189440,28
625,1189440,2
626,1189460,4
627,1189460,23
628,1189460,3
629,1189520,4
630,1189520,23
631,1189520,18
632,1189630,23
633,1189630,3
634,1189630,70
635,1189650,23
636,1189650,2
637,1189650,70
638,1188760,1
639,1188760,25
640,1188760,4
641,1188760,23
642,1188760,28
643,1188800,25
644,1188800,4
645,1188800,23
646,1188800,3
647,1188970,1
648,1188970,25
649,1188970,23
650,1188990,25
651,1189020,1
652,1189020,25
653,1189020,4
654,1189020,23
655,1189040,4
656,1189040,23
657,1189050,1
658,1189050,4
659,1189050,23
660,1189050,3
661,1189050,2
662,1189080,25
663,1189080,3
664,1189120,25
665,1189120,4
666,1189120,23
667,1189120,3
668,1189120,2
669,1189200,4
670,1189200,23
671,1189200,3
672,1189200,28
673,1189210,25
674,1189210,4
675,1189210,23
676,1189210,70
677,1188430,1
678,1188430,25
679,1188430,4
680,1188430,23
681,1188430,3
682,1188540,1
683,1188540,23
684,1188540,70
685,1188580,1
686,1188580,25
687,1188580,4
688,1188580,23
689,1188670,4
690,1188670,23
691,1188670,28
692,1188670,2
693,1188670,70
694,1188680,23
695,1188680,28
696,1188680,2
697,1188690,1
698,1188690,4
699,1188690,23
700,1188690,9
701,1188710,23
702,1188000,1
703,1188000,23
704,1188060,1
705,1188060,25
706,1188060,4
707,1188060,23
708,1188060,3
709,1188060,28
710,1188060,18
711,1188060,2
712,1188080,25
713,1188080,23
714,1188140,4
715,1188140,28
716,1188160,1
717,1188250,1
718,1188250,25
719,1188250,23
720,1188260,4
721,1188260,23
722,1188260,3
723,1188260,2
724,1188280,1
725,1188280,4
726,1188280,23
727,1188280,2
728,1188290,1
729,1188290,25
730,1188290,23
731,1188290,28
732,1188310,1
733,1188310,4
734,1188310,23
735,1188330,4
736,1188330,23
737,1188330,2
738,1187600,23
739,1187620,4
740,1187620,23
741,1187620,2
742,1187650,23
743,1187650,2
744,1187740,1
745,1187740,4
746,1187740,37
747,1187740,23
748,1187740,18
749,1187740,70
750,1187790,1
751,1187790,23
752,1187790,28
753,1187790,18
754,1187830,25
755,1187830,4
756,1187830,23
757,1187840,1
758,1187840,25
759,1187840,23
760,1187900,1
761,1187900,25
762,1187900,23
763,1187940,1
764,1187940,25
765,1187940,3
766,1187950,1
767,1187950,25
768,1187950,23
769,1187330,1
770,1187330,18
771,1187330,70
772,1187420,23
773,1187430,1
774,1187430,25
775,1187430,4
776,1187430,23
777,1187430,18
778,1187490,25
779,1187490,3
780,1187510,4
781,1187510,23
782,1187510,28
783,1186880,25
784,1186880,4
785,1186880,23
786,1186940,1
787,1186940,25
788,1186940,4
789,1186940,23
790,1186940,3
791,1187030,4
792,1187030,23
793,1187030,3
794,1187030,28
795,1187030,2
