,id,name,required_age,is_free,developers,review_score,total_positive,total_negative,total_reviews
165,1192390,Invisible Enemy,0,False,Studio Cute,0,0,3,3
166,1192410,Room Escape '1053',0,False,Godam Inc.,0,0,1,1
167,1192420,Shuttle Commander,0,False,Immersive VR Education,5,10,9,19
168,1192500,GraFi Christmas,0,False,Blender Games,0,1,1,2
169,1191580,Nexomon,0,False,VEWO Interactive Inc.,8,395,37,432
170,1191590,End of War 1945,0,False,The 45th Division,7,9,2,11
171,1191610,Memory,0,False,Soft Paw Studio,0,1,0,1
172,1191790,The World Is Ruled According to Sexual Prowess So I’m Playing Dirty to Get My Harem Episode 1,0,False,Boom! Boom! Douga,0,2,2,4
173,1191820,Spot The Differences 2020 | 大家来找茬 2020,0,False,KUWOGame,0,3,0,3
174,1191860,Memody: Sindrel Song,0,False,Tobias Cornwall,7,15,0,15
175,1191900,Say No! More,0,False,Studio Fizbin,8,187,12,199
176,1191940,Deathtrap Dungeon: The Interactive Video Adventure,0,False,Branching Narrative Ltd,8,105,8,113
177,1192060,Virus L,0,False,Luthor Dynamics,0,0,3,3
178,1191190,War Robots: Planet Defender,0,False,Xue Dong,0,3,0,3
179,1191210,Seek Girl Ⅲ,0,False,DSGame,8,202,46,248
180,1191280,12 Labours of Hercules X: Greed for Speed,0,False,Jetdogs Studios,0,4,3,7
181,1191440,Forgotten Ways,0,False,IllSeeYou,0,1,1,2
182,1191500,Spire of Sorcery (Limited Early Access),0,False,Charlie Oscar Lima Tango Interactive Entertainment,5,6,9,15
183,1191510,PixHunter,0,False,Studio Inward,0,0,1,1
184,1190620,Defence War,0,False,StarSystemStudios,0,2,5,7
185,1190640,Memory Match Saga,0,False,Boogygames Studios,0,1,0,1
186,1190750,GameAssistant: The Tool For Every Gamer,0,True,GameAssistant Team,0,0,1,1
187,1190760,Tales of the Deck,0,False,One Bit Factory,0,0,3,3
188,1190780,DooM in the Dark 2,0,False,indie_games_studio,0,0,2,2
189,1190810,Ghetto Conspiracy,0,False,Ghetto Games,0,8,0,8
190,1190820,Booobjz,0,False,FreeAnimals_Software,0,6,0,6
191,1190910,Defend Them !,0,False,Butter Fly Games,0,1,0,1
192,1190930,ScribbleDude,0,False,RandomErik,0,6,0,6
193,1190980,Hoarding Simulator,0,False,Ryan Carlos,0,0,1,1
194,1191070,Yuki Onna | 雪女,0,False,Chilla's Art,6,35,11,46
195,1191100,Hentai Waifu,0,False,GentleDriver,6,13,4,17
196,1190160,LIT: Bend the Light,0,False,Copperglass,8,81,5,86
197,1190180,Arrow,0,True,HEILAH,0,1,0,1
198,1190310,Dancing Arrow : Beat Smash,0,False,Geniesoft Inc.,0,2,0,2
199,1190380,Race Race Racer,0,False,Enaayah Software Development and Services Private Limited,6,8,3,11
200,1190400,The Wonderful 101: Remastered,0,False,PlatinumGames Inc.,8,196,35,231
201,1190410,Crazy city,0,False,JOJO,0,2,1,3
202,1190460,DEATH STRANDING,0,False,KOJIMA PRODUCTIONS,8,13612,1329,14941
203,1190480,Heebie Jeebies: The Roller Coaster,0,False,Lukas Litinskas,0,1,1,2
204,1190560,Scriptum VR: The Neighbor's House Escape Room,0,False,Adver2Play,0,1,0,1
205,1189740,Juken Jigoku | 受験地獄,0,False,W&H Game Systems,5,11,5,16
206,1189750,WinTweaker,0,False,Giga-Core,0,4,2,6
207,1189780,Wallachia: Reign of Dracula,0,False,Migami Games,6,31,9,40
208,1189800,Bleeding Edge,0,False,Ninja Theory,6,525,224,749
209,1190060,The Last Deathbound,0,False,Kenny Doan,0,4,0,4
210,1190110,H-SNIPER: Middle East,0,False,Konnichiwa Games,8,355,32,387
211,1190120,Good doktor,0,False,Niko Belik,0,1,4,5
212,1189230,Door in the Woods,0,False,teedoubleuGAMES,6,116,35,151
213,1189360,Art of Beauties,0,False,Kotovodk Studio,7,9,2,11
214,1189380,Beat Or Die The MiniGames,0,False,BlueNothing Games,0,1,0,1
215,1189440,VenusBlood FRONTIER International,0,False,Ninetail,7,24,5,29
216,1189460,ClickCells: Office Lady,0,False,Crew Lab,6,15,5,20
217,1189520,Street Hoop,0,False,Digicon,0,4,1,5
218,1189630,Path Of Wuxia,0,False,Heluo Studio,8,474,28,502
219,1189650,Post Scriptum CTG: Collectible Token Game,0,True,Alien Intelligence UAB,0,1,1,2
220,1188760,JEF,0,False,Jeremy Couillard,7,37,3,40
221,1188800,In the Service of Mrs. Claus,0,False,Choice of Games,0,2,2,4
222,1188970,Ether Loop,0,False,Moon Lens,6,89,25,114
223,1188990,WREST,0,False,Shaftesbury Lucid Inc,6,8,3,11
224,1189020,LOGA: Unexpected Adventure,0,False,Ibrahim sofan,0,0,2,2
225,1189040,Smart Girl : Christmas,0,False,Smart Party,0,0,1,1
226,1189050,Hot And Lovely,0,False,Lovely Games,5,13,8,21
227,1189080,Squirrel Legacy,0,False,Obscure,0,3,3,6
228,1189120,Posibility,0,False,UGtobest,0,0,1,1
229,1189200,Moonlight Basket,0,False,Inu to Neko,0,1,0,1
230,1189210,Yuna and other troubles,0,False,Strawberry Entertainment,0,0,1,1
231,1188430,"Deep, In the  Forest",0,False,Satur Entertainment,5,8,6,14
232,1188540,Apex Aim Trainer,0,False,SharkFishFish,8,96,15,111
233,1188580,Classic Snake Adventures,0,False,Crazysoft Limited,0,2,0,2
234,1188670,Castle Commander,0,False,Barry McCabe,0,1,0,1
235,1188680,The Political Machine 2020,0,False,Stardock Entertainment,8,442,98,540
236,1188690,Speed Masters ASD,0,False,H.D.A.,0,1,0,1
237,1188710,Bloodholic,0,False,釉里红,0,1,0,1
238,1188000,Pulstario,0,False,Fred Wood,7,15,0,15
239,1188060,My hot beach vacation,0,False,Ero Team Triangle,0,1,2,3
240,1188080,Cats are Liquid - A Better Place,0,False,Last Quarter Studios,8,73,5,78
241,1188140,Country Road VR,0,False,Somun Immersive,0,5,1,6
242,1188160,Ground Zero Texas - Nuclear Edition,0,False,Screaming Villains,0,3,3,6
243,1188250,GLOWCOMA: chapter 1,18,False,Tsvetomir Georgiev,8,74,9,83
244,1188260,Creature Card Idle,0,False,Fordesoft,5,37,20,57
245,1188280,Coffee Rush,0,False,Anarchy Enterprises,0,1,0,1
246,1188290,Cover Your Eyes,0,False,StarSkipp,0,0,1,1
247,1188310,Mini Island,0,False,MACKINN7,0,5,0,5
248,1188330,Classic Sudoku,0,False,Studio Goya,8,205,17,222
249,1187600,Wicked Willow,0,False,T.F. Wright,7,23,4,27
250,1187620,Hentai Pazu,0,False,GentleDriver,5,9,4,13
251,1187650,Blaze Revolutions,0,False,Little Chicken Game Company,0,5,1,6
252,1187740,InfiniteBeat,0,False,CyberGods,0,2,3,5
253,1187790,FULLCHOKE : Clay Shooting VR,0,False,ROLLINGJ GAMES,0,5,2,7
254,1187830,Incredible Dracula: Witches' Curse,0,False,Platinum Games,0,2,0,2
255,1187840,Vesper,0,False,Cordens Interactive,0,4,0,4
256,1187900,NARWHAR Project Hornwhale,0,False,AB,0,1,0,1
257,1187940,Is It Wrong to Try to Pick Up Girls in a Dungeon? Infinite Combate,0,False,MAGES. Inc.,4,28,45,73
258,1187950,Gaijin Charenji 1 : Kiss or Kill,0,False,overGame Studio,0,1,0,1
259,1187330,Tower Tag,0,False,VR Nerds,8,96,16,112
260,1187420,Hasfax,0,False,HorseGames,0,3,5,8
261,1187430,"SpaceVibes VR (Point & Click, Abstract, Disco Music)",0,False,vrSimilitude (Karrson Heumann),0,0,1,1
262,1187490,Phoenix Tales,0,False,Adventurers Guild Entertainment,0,3,1,4
263,1187510,Rock Simulator,0,False,Vinoo,8,155,6,161
264,1186880,OctoFurry,0,False,ArenaDev,7,38,6,44
265,1186940,Underneath,0,False,NORSKA,0,0,1,1
266,1187030,星礼研究所 | Sighchology Research Lab,0,False,Kalaicoconut Studio,0,0,2,2
267,1187110,INVESTMENT HERO,0,False,SexyPolygonGames,0,1,1,2
268,1187140,Elementary Anatomy: With Story Mode,0,False,Virtual Medicine,0,4,0,4
269,1187190,The Knight of the Crimson Tower,0,False,Ikuku,0,2,0,2
270,1187250,Consumed Awakening,0,False,Birchislet Gaming,0,1,0,1
271,1186400,West Sweety,0,False,ADOG,6,111,35,146
272,1186460,Songs Of Wuxia,0,False,苏州幻步网络科技有限公司,0,5,3,8
273,1186510,Land of Ngoto,0,False,Marc Oesigmann,0,1,1,2
274,1186530,Business Wars - The Card Game,0,False,Black Phoenix Studio,0,2,1,3
275,1186570,Die Fantastischen VR - Fantaventura,0,False,gebrueder beetz filmproduktion,0,2,0,2
276,1186580,New York Mysteries: The Outbreak,0,False,FIVE-BN GAMES,7,16,2,18
277,1186630,1971 PROJECT HELIOS,0,False,Recotechnology S.L.,0,1,2,3
278,1186640,Pumpkin Jack,0,False,Nicolas Meyssonnier,9,1044,53,1097
279,1186650,MADELA,0,False,Habib Alejalil,0,0,3,3
280,1186690,Timpu's treasure,0,False,Siddharth Sivaraman,0,2,0,2
281,1186720,The Cruxis Sword,0,False,Daydream Studios,0,2,1,3
