,game-id,platforms
654,1176190,1
655,1175470,1
656,1175480,1
657,1175490,1
658,1175490,2
659,1175500,1
660,1175510,1
661,1175550,1
662,1175590,1
663,1175640,1
664,1175640,3
665,1175650,1
666,1175720,1
667,1175830,1
668,1175880,1
669,1174980,1
670,1174990,1
671,1175060,1
672,1175070,1
673,1175080,1
674,1175140,1
675,1175140,3
676,1175160,1
677,1175170,1
678,1175190,1
679,1175200,1
680,1175250,1
681,1175360,1
682,1175390,1
683,1175420,1
684,1175430,1
685,1175430,2
686,1175430,3
687,1174670,1
688,1174670,2
689,1174690,1
690,1174720,1
691,1174780,1
692,1174810,1
693,1174830,1
694,1174830,2
695,1174830,3
696,1174860,1
697,1174890,1
698,1174890,2
699,1174170,1
700,1174170,2
701,1174170,3
702,1174260,1
703,1174320,1
704,1174320,2
705,1174390,1
706,1174400,1
707,1174420,1
708,1174420,2
709,1174430,1
710,1174430,3
711,1174440,1
712,1174490,1
713,1174490,3
714,1174500,1
715,1174500,2
716,1174500,3
717,1174550,1
718,1173870,1
719,1173940,1
720,1174090,1
721,1174120,1
722,1173500,1
723,1173510,1
724,1173610,1
725,1173630,1
726,1173650,1
727,1173700,1
728,1173730,1
729,1173790,1
730,1173830,1
731,1173850,1
732,1173110,1
733,1173120,1
734,1173150,1
735,1173200,1
736,1173230,1
737,1173230,2
738,1173240,1
739,1173240,2
740,1173250,1
741,1173260,1
742,1173270,1
743,1173270,3
744,1173310,1
745,1173340,1
746,1173340,2
747,1173340,3
748,1173350,1
749,1173370,1
750,1173380,1
751,1173410,1
752,1172620,1
753,1172640,1
754,1172720,1
755,1172760,1
756,1172760,2
757,1172940,1
758,1173010,1
759,1173010,2
760,1173010,3
761,1172080,1
762,1172150,1
763,1172170,1
764,1172220,1
765,1172290,1
766,1172340,1
767,1172380,1
768,1172390,1
769,1172410,1
770,1172430,1
771,1172480,1
772,1172480,2
773,1172500,1
774,1172500,2
775,1172510,1
776,1172510,2
777,1172520,1
778,1172520,2
779,1172530,1
780,1172530,2
781,1171620,1
782,1171620,2
783,1171640,1
784,1171640,2
785,1171660,1
786,1171770,1
787,1171820,1
788,1171820,2
789,1171820,3
790,1171840,1
791,1171840,2
792,1171840,3
793,1171870,1
794,1171880,1
795,1171950,1
796,1172000,1
797,1172000,2
798,1172000,3
799,1172050,1
800,1172060,1
801,1171240,1
802,1171260,1
803,1171260,2
804,1171270,1
805,1171310,1
806,1171350,1
807,1171370,1
808,1171440,1
809,1171560,1
810,1171570,1
811,1171570,2
812,1170830,1
813,1170840,1
814,1170960,1
815,1170980,1
816,1171030,1
817,1171070,1
818,1171080,1
819,1171120,1
820,1171130,1
821,1171160,1
822,1171160,2
823,1171160,3
824,1170610,1
825,1170630,1
826,1170760,1
827,1170400,1
828,1169920,1
829,1169920,3
830,1170050,1
831,1170060,1
832,1170110,1
833,1170120,1
834,1170160,1
835,1170170,1
836,1170180,1
837,1170180,2
838,1170190,1
839,1170210,1
840,1170290,1
841,1170300,1
842,1170300,2
843,1170300,3
844,1170320,1
845,1170330,1
846,1170330,3
847,1170340,1
848,1170340,2
849,1170340,3
850,1170350,1
851,1169510,1
852,1169690,1
853,1169740,1
854,1169740,2
855,1169740,3
856,1169770,1
857,1169880,1
858,1169020,1
859,1169030,1
860,1169040,1
861,1169050,1
862,1169060,1
863,1169070,1
864,1169100,1
865,1169100,2
866,1169160,1
867,1169310,1
868,1169420,1
869,1169430,1
870,1168600,1
871,1168630,1
872,1168630,2
873,1168630,3
874,1168650,1
875,1168820,1
876,1168830,1
877,1168850,1
878,1168870,1
879,1168870,3
880,1168880,1
881,1168880,2
882,1168880,3
883,1168940,1
884,1168960,1
885,1168970,1
886,1168980,1
887,1168990,1
888,1168290,1
889,1168320,1
890,1168360,1
891,1168420,1
892,1168420,2
893,1168470,1
894,1168470,2
895,1167760,1
896,1167770,1
897,1167800,1
898,1167800,2
899,1167850,1
900,1167850,2
901,1167950,1
902,1167970,1
903,1168050,1
904,1168060,1
905,1168070,1
906,1168170,1
907,1167320,1
908,1167380,1
909,1167450,1
910,1167460,1
911,1167470,1
912,1167470,2
913,1167470,3
914,1167530,1
915,1167540,1
916,1167550,1
917,1167630,1
918,1167640,1
919,1167640,2
920,1167640,3
921,1167650,1
922,1167710,1
923,1167710,2
924,1166860,1
925,1166860,2
926,1166980,1
927,1166980,2
928,1167090,1
929,1167170,1
930,1167170,2
931,1167170,3
932,1167270,1
933,1166490,1
934,1166510,1
935,1166580,1
936,1166600,1
937,1166600,2
938,1166600,3
939,1166730,1
940,1166730,3
941,1166740,1
942,1166760,1
943,1166800,1
944,1166800,2
945,1166800,3
946,1166840,1
947,1166840,2
948,1166840,3
949,1166110,1
950,1166110,2
951,1166110,3
952,1166120,1
953,1166130,1
954,1166230,1
955,1166230,2
956,1166240,1
957,1166250,1
958,1166290,1
959,1166290,2
960,1166290,3
961,1166320,1
962,1166320,2
963,1166350,1
964,1166350,2
965,1165740,1
966,1165740,2
967,1165750,1
968,1165820,1
969,1165820,2
970,1165830,1
971,1165840,1
972,1165860,1
973,1165870,1
974,1165910,1
975,1165960,1
976,1166000,1
977,1166100,1
978,1165140,1
979,1165180,1
980,1165270,1
981,1165280,1
982,1165280,3
983,1165350,1
984,1165380,1
985,1165400,1
986,1165420,1
987,1165420,2
988,1165460,1
989,1165490,1
990,1165540,1
991,1165590,1
992,1164660,1
993,1164690,1
994,1164740,1
995,1164740,3
996,1164750,1
997,1164910,1
998,1164930,1
999,1164970,1
1000,1164990,1
1001,1165020,1
1002,1165020,2
1003,1165020,3
1004,1165090,1
1005,1165100,1
1006,1164290,1
1007,1164310,1
1008,1164330,1
1009,1164440,1
1010,1164470,1
1011,1164470,2
1012,1164520,1
1013,1164550,1
1014,1163730,1
1015,1163910,1
1016,1163950,1
1017,1163960,1
1018,1163980,1
1019,1163990,1
1020,1164000,1
1021,1164010,1
1022,1164050,1
1023,1164050,2
1024,1164060,1
1025,1163290,1
1026,1163300,1
1027,1163300,2
1028,1163320,1
1029,1163340,1
1030,1163340,2
1031,1163460,1
1032,1163470,1
1033,1163490,1
1034,1163500,1
1035,1163550,1
1036,1163560,1
1037,1163570,1
1038,1163570,2
1039,1163590,1
1040,1163600,1
1041,1163620,1
1042,1163660,1
1043,1162880,1
1044,1162900,1
1045,1162920,1
1046,1162950,1
1047,1162950,2
1048,1162950,3
1049,1162960,1
1050,1162960,2
1051,1162960,3
1052,1163040,1
1053,1163090,1
1054,1163140,1
1055,1163150,1
1056,1163170,1
1057,1162520,1
1058,1162520,2
1059,1162560,1
1060,1162560,2
1061,1162590,1
1062,1162630,1
1063,1162630,2
1064,1162640,1
1065,1162640,2
1066,1162650,1
1067,1162670,1
1068,1162670,2
1069,1162680,1
1070,1162690,1
1071,1162690,3
1072,1162730,1
1073,1162750,1
1074,1162750,2
1075,1162750,3
1076,1162760,1
1077,1162170,1
1078,1162280,1
1079,1162290,1
1080,1162320,1
1081,1162350,1
1082,1162370,1
1083,1162430,1
1084,1162430,2
1085,1162430,3
1086,1162440,1
1087,1162470,1
1088,1162470,2
1089,1162480,1
1090,1161660,1
1091,1161670,1
1092,1161680,1
1093,1161870,1
1094,1161880,1
1095,1161880,2
1096,1161880,3
1097,1161900,1
1098,1161910,1
1099,1161910,3
1100,1161930,1
1101,1162010,1
1102,1162050,1
1103,1162070,1
1104,1162130,1
1105,1161270,1
1106,1161300,1
1107,1161320,1
1108,1161330,1
1109,1161330,2
1110,1161330,3
1111,1161360,1
1112,1161430,1
1113,1161490,1
1114,1161510,1
1115,1161570,1
1116,1161650,1
