game_id,genre_id
1175140,9
1175160,25
1175160,4
1175160,23
1175170,25
1175170,4
1175170,23
1175190,1
1175200,1
1175200,25
1175200,23
1175200,29
1175250,1
1175250,4
1175250,23
1175250,2
1175360,1
1175360,23
1175360,70
1175390,51
1175390,53
1175390,57
1175390,70
1175420,25
1175420,4
1175420,23
1175430,1
1175430,25
1175430,4
1175430,23
1174670,1
1174670,25
1174670,23
1174670,2
1174690,4
1174690,3
1174720,1
1174720,23
1174720,28
1174720,2
1174780,1
1174780,25
1174780,23
1174780,28
1174780,70
1174810,1
1174810,25
1174810,4
1174810,23
1174810,3
1174830,25
1174830,4
1174830,23
1174830,3
1174860,56
1174860,57
1174890,23
1174890,2
1174890,70
1174170,25
1174170,4
1174170,23
1174260,23
1174320,25
1174320,2
1174390,1
1174390,25
1174390,23
1174390,3
1174400,25
1174420,23
1174420,28
1174420,2
1174430,1
1174440,4
1174440,23
1174440,28
1174440,2
1174490,1
1174490,4
1174490,23
1174490,28
1174500,25
1174500,4
1174550,25
1174550,4
1174550,23
1174550,29
1174550,28
1174550,70
1173870,1
1173870,23
1173940,1
1173940,23
1174090,25
1174090,4
1174090,23
1174090,3
1174090,28
1174120,4
1174120,23
1173500,25
1173500,23
1173500,3
1173510,57
1173510,70
1173610,1
1173610,4
1173630,1
1173630,4
1173630,23
1173630,9
1173650,25
1173700,4
1173700,23
1173700,28
1173730,23
1173730,2
1173730,70
1173790,3
1173830,4
1173830,23
1173850,1
1173850,25
1173850,4
1173850,23
1173110,25
1173110,23
1173110,28
1173120,23
1173150,1
1173150,25
1173150,23
1173200,1
1173200,25
1173200,23
1173200,3
1173230,4
1173230,23
1173230,28
1173230,2
1173240,4
1173240,23
1173240,28
1173240,2
1173250,25
1173250,23
1173260,1
1173260,25
1173260,23
1173270,25
1173270,4
1173270,23
1173310,1
1173310,25
1173310,4
1173310,23
1173310,2
1173340,1
1173340,25
1173340,23
1173340,9
1173340,28
1173340,70
1173350,25
1173350,4
1173350,23
1173370,1
1173370,4
1173370,37
1173370,23
1173370,18
1173370,70
1173380,1
1173380,25
1173380,4
1173380,23
1173380,28
1173410,25
1173410,4
1173410,23
1172620,1
1172620,25
1172640,1
1172640,4
1172640,23
1172640,9
1172720,4
1172720,23
1172760,2
1172940,25
1173010,4
1173010,23
1172080,25
1172080,23
1172150,1
1172150,25
1172150,4
1172150,23
1172170,25
1172170,23
1172220,1
1172220,23
1172290,52
1172290,70
1172340,1
1172380,1
1172380,25
1172390,1
1172390,25
1172390,4
1172390,23
1172390,3
1172390,28
1172390,2
1172390,70
1172410,1
1172430,1
1172430,25
1172430,23
1172430,28
1172430,2
1172480,23
1172500,4
1172500,2
1172510,4
1172510,2
1172520,4
1172520,2
1172530,4
1171620,4
1171620,23
1171640,23
1171640,3
1171640,2
1171660,1
1171660,25
1171660,4
1171660,23
1171660,3
1171770,1
1171770,4
1171770,23
1171770,9
1171820,25
1171820,4
1171820,23
1171820,3
1171840,1
1171840,25
1171840,4
1171840,23
1171840,3
1171870,1
1171870,25
1171870,4
1171870,23
1171870,3
1171870,70
1171880,1
1171880,25
1171880,23
1171950,1
1171950,25
1171950,23
1171950,3
1171950,2
1172000,4
1172000,23
1172050,1
1172050,25
1172050,4
1172050,23
1172050,28
1172050,18
1172060,1
1172060,23
1172060,3
1171240,1
1171240,23
1171240,70
1171260,1
1171260,25
1171260,23
1171270,25
1171270,23
1171310,1
1171310,25
1171310,4
1171350,4
1171350,2
1171370,25
1171370,4
1171370,37
1171370,23
1171440,4
1171440,23
1171560,25
1171560,23
1171560,70
1171570,1
1171570,25
1171570,4
1171570,23
1170830,1
1170830,25
1170830,4
1170830,23
1170830,3
1170830,28
1170840,1
1170840,25
1170840,4
1170840,23
1170960,25
1170960,23
1170980,23
1170980,28
1170980,2
1171030,23
1171030,9
1171030,2
1171070,1
1171070,4
1171070,23
1171080,1
1171080,25
1171080,4
1171080,23
1171120,1
1171120,25
1171120,23
1171120,3
1171120,70
1171130,1
1171130,3
1171130,2
1171160,23
1171160,2
1170610,4
1170610,23
1170610,2
1170630,3
1170760,1
1170400,3
1169920,4
1169920,23
1169920,2
1170050,1
1170050,23
1170050,28
1170060,1
1170060,23
1170110,25
1170110,4
1170110,23
1170120,23
1170120,3
1170160,4
1170160,23
1170160,18
1170170,1
1170170,23
1170180,4
1170180,23
1170180,28
1170180,70
1170190,25
1170190,23
1170190,3
1170210,23
1170210,28
1170210,2
1170290,4
1170290,23
1170290,28
1170290,2
1170300,1
1170300,23
1170320,4
1170320,23
1170330,4
1170330,23
1170330,28
1170330,70
1170340,4
1170340,23
1170340,28
1170350,4
1170350,23
1170350,28
1170350,2
1169510,25
1169510,23
1169690,3
1169690,2
1169690,70
1169740,1
1169740,23
1169770,1
1169770,25
1169770,23
1169880,4
1169880,23
1169880,3
1169880,28
1169020,25
1169020,23
1169030,23
1169040,1
1169040,25
1169040,23
1169040,70
1169050,1
1169050,4
1169050,23
1169060,1
1169060,4
1169060,23
1169070,1
1169070,25
1169070,23
1169100,4
1169100,23
1169100,28
1169100,2
1169160,25
1169160,23
1169160,3
1169160,2
1169310,1
1169310,4
1169310,23
1169310,2
1169420,4
1169420,23
1169430,4
1169430,23
1169430,28
1168600,1
1168630,4
1168630,23
1168630,2
1168650,25
1168650,4
1168650,23
1168650,2
1168820,25
1168820,4
1168830,25
1168830,4
1168850,3
1168870,1
1168870,23
1168870,3
1168870,70
1168880,23
1168880,28
1168940,1
1168940,25
1168940,4
1168940,23
1168960,1
1168970,1
1168970,23
1168980,1
1168980,25
1168980,23
1168980,70
1168990,1
1168990,23
1168290,4
1168290,23
1168290,2
1168290,70
1168320,1
1168320,25
1168320,23
1168360,4
1168420,23
1168470,25
1168470,4
1168470,23
1168470,3
1168470,28
1167760,1
1167760,25
1167760,23
1167760,29
1167760,28
1167760,70
1167770,25
1167770,23
1167800,1
1167800,23
1167850,23
1167950,23
1167950,3
1167970,23
1168050,4
1168060,4
1168070,4
1168170,1
1168170,25
1168170,23
1167320,1
1167320,25
1167320,23
1167320,3
1167320,2
1167380,1
1167380,25
1167380,23
1167450,1
1167460,23
1167460,2
1167470,25
1167470,4
1167470,23
1167470,3
1167530,1
1167530,25
1167530,23
1167540,1
1167540,25
1167540,4
1167540,23
1167540,3
1167550,57
1167630,1
1167630,23
1167630,28
1167630,2
1167630,70
1167640,23
1167640,3
1167640,28
1167650,4
1167650,23
1167710,23
1167710,18
1166860,4
1166860,9
1166860,28
1166860,18
1166860,2
1166980,4
1166980,23
1166980,2
1167090,1
1167090,25
1167090,23
1167170,25
1167270,1
1167270,4
1167270,23
1166490,57
1166510,1
1166510,25
1166510,4
1166510,23
1166580,4
1166580,23
1166580,28
1166600,25
1166600,23
