id,name,required_age,is_free,developers,review_score,total_positive,total_negative,total_reviews
1141950,Sex & Gun PC,0,False,VR-EXODUS,5,5,5,10
1141990,Elite Escape,0,False,Przestraszeni,5,9,4,13
1142030,Emperium,0,False,Bryan Roberts,0,4,1,5
1142070,Paladin Slayer,0,False,SeedWall,0,2,3,5
1142090,Playing Both Sides,0,False,N/A,0,3,0,3
1142100,WWE 2K BATTLEGROUNDS,0,False,Saber Interactive,5,130,61,191
1142130,They Can't Stop All Of Us,0,True,B Michael B,0,1,0,1
1142200,Nightmare Cave,0,False,Nejc Korez,0,1,0,1
1142220,Beat Aim - Rhythm FPS Shooter,0,False,Kamyker,8,49,11,60
1142230,The Secrets of Jesus,0,False,Amir Matouk,0,2,0,2
1142290,Haunted Legends: The Scars of Lamia Collector's Edition,0,False,AMAX Interactive,0,1,0,1
1142300,Hope; or How We Survived,0,False,Sepia Cowboys,0,7,0,7
1142320,Little Helper,0,True,Vander,0,4,0,4
1142360,Hope for City,0,False,Cloaz Studio,0,4,2,6
1141450,Dodge Rocket,0,False,HaDe Games,7,8,2,10
1141530,"PlayClaw 7 - Game Overlays, Recording and Streaming",0,True,Eduard Kozadaev,0,4,0,4
1141570,Sky Cannoneer,0,False,"Element Games, LLC",0,6,2,8
1141600,Every Day's Different,0,False,Snowfall Studio,0,3,1,4
1141640,Slaveblade,0,True,NegativeGenius LLC,0,0,1,1
1141650,Crowd Simulator,0,False,ZHANG FAN,7,17,2,19
1141860,Trial Of Destiny,0,False,DarkLord Game,0,1,0,1
1141870,The Longest Love,0,False,夜雨ドッド,0,2,0,2
1141880,Crazy Critters - Combat Cats,0,False,Aligned Games,0,5,1,6
1141070,UFO : Brawlers from Beyond,0,False,Pringo Dingo Games,0,1,0,1
1141120,Scarlet Hood and the Wicked Wood,0,False,Devespresso Games,7,10,1,11
1141130,Serious Scramblers,0,False,Chinykian Games,7,19,1,20
1141150,The Defender: Farm and Castle 2,0,False,Kitti Sarmuerjai,0,2,1,3
1141160,Fractalis,0,False,Revolutionary Interactive,0,1,0,1
1141170,Risnuch,0,True,Razard,0,0,1,1
1141180,Cocktail for Beauty,18,False,vadimalexepta,0,2,0,2
1141220,DemonCrawl,0,False,Therefore Games,8,542,120,662
1141290,Tactical Nexus,0,False,Team-Tactical Nexus,7,43,1,44
1141300,Sloth Quest,0,False,Lumatap LLC,0,2,0,2
1141360,Dungeon Dreams (Female Protagonist),0,False,DDreams Games,7,17,4,21
1141380,Ladies Orders,0,False,Silver Cloud,0,2,1,3
1141390,The Blitzkrieg: Weapons of War,0,False,Loui Eriksson,0,1,0,1
1140610,Death Live,0,False,橘子班,0,5,0,5
1140720,Boat Violence: Ship Happens,0,False,Daygames,0,1,0,1
1140750,Chained,0,False,Studio Digital Caffeine,0,0,1,1
1140790,Kung Fu Jesus,0,False,Celestial Gold Studios,0,2,1,3
1140880,Only One Burn,0,False,Leyline Studios,6,11,3,14
1140890,Morbid: The Seven Acolytes,0,False,Still Running,6,76,28,104
1140900,The Chasm - Mines Of Madness,0,False,"Luca ""Fox"" Giovani",0,0,1,1
1140950,Boardwalk Carnival Game,0,False,VTree LLC,0,1,0,1
1140970,Inside The Park VR,0,False,Intelimmerse LLC,0,1,4,5
1140130,Survival Vacancy,0,False,Mind Leak,6,31,13,44
1140140,Summer Meetings,0,False,Mikołaj Spychał,0,3,1,4
1140260,Blade Warrior,0,False,Image Works,0,1,0,1
1140270,Monster Prom 2: Monster Camp,0,False,Beautiful Glitch,9,2485,42,2527
1140290,Murder by Numbers,0,False,Mediatonic,8,487,62,549
1140360,TextureWorks,0,False,GameDev_ToolMaker,0,2,2,4
1140400,Gericonia 2,0,False,Simon Eriksson,0,2,1,3
1140410,Sex City,0,False,Slippy Floor,0,2,3,5
